latitude,longitude,sex,age,state
20.385026577598772,-150.8702155149808,1,2,0
20.384749361810314,-150.86999847454453,1,2,0
20.385331628921755,-150.86970213323076,1,3,0
20.384993590006875,-150.8703233798363,0,5,0
20.621791479206678,-150.52148255570097,0,6,0
20.621563570678656,-150.5223352754056,1,6,0
20.62207888463504,-150.52171822702914,0,4,0
20.621897009524456,-150.52145070041263,1,2,0
20.62179290873335,-150.52191160632222,0,1,0
20.621683974533266,-150.52143113047748,0,6,0
20.621331057560635,-150.5218843616211,1,1,0
20.621889863450207,-150.5219572696519,1,4,0
20.621622294925633,-150.52206042138351,0,6,0
20.621833482805517,-150.52156073933364,0,1,0
20.621619326638104,-150.52164323692355,0,6,0
20.62165546477795,-150.52171628312811,1,6,0
20.621496092422895,-150.52203218714382,0,6,0
20.961720905578627,-150.8080269147989,0,1,0
20.96205737846952,-150.80735109559416,1,6,0
20.961890174160025,-150.80745953045894,0,2,0
20.808663230558512,-151.20101568507405,0,4,0
20.808373670854234,-151.2015848037536,0,5,0
20.81016199190452,-151.20354582935366,0,5,0
20.807707788251527,-151.2001587996172,1,3,0
20.807964532538485,-151.19967735695775,1,3,0
20.809923303891427,-151.2028955659566,1,5,0
20.80678331465634,-151.19788748951976,1,3,0
20.811107797476794,-151.20380874619278,1,3,0
20.808556068767146,-151.20021415699344,1,2,0
20.807762517241763,-151.19839978098724,1,4,0
20.809782145323123,-151.20371397859384,1,6,0
20.808817967274422,-151.20017560484422,1,4,0
20.8095330841344,-151.2033221749416,1,3,0
20.808462704486207,-151.1999887531163,1,2,0
20.808761036619476,-151.20056399013413,1,3,0
20.808769068342645,-151.2023390315984,1,6,0
20.808591931370554,-151.20024170102934,1,4,0
20.809842497987987,-151.2031533560048,1,6,0
20.809304051083767,-151.20153199515565,1,4,0
20.810605070977473,-151.20432908763178,0,3,0
20.80957763973151,-151.20349933939875,1,2,0
20.80987293178909,-151.20426747357473,1,3,0
20.80891407645348,-151.20092950719862,1,3,0
20.83171330354278,-150.3268214947493,1,5,0
20.831306842624834,-150.3270598021763,1,5,0
20.831394969331935,-150.32704298774635,0,5,0
20.831087159072943,-150.32646800817798,1,7,0
20.83141026724731,-150.32672591023817,1,6,0
20.831723801910872,-150.32690697874085,1,5,0
20.8314028350515,-150.32676817019913,0,6,0
20.83143522685607,-150.32694005693543,0,6,0
20.83101130206337,-150.32699128784344,1,5,0
20.831667771172356,-150.32692718771202,0,2,0
20.83171217795925,-150.32689761138158,1,6,0
20.83115072427291,-150.32693289038747,1,4,0
20.830890382938676,-150.3267811025377,1,6,0
20.83117451498331,-150.32690336814244,1,5,0
20.831374411320287,-150.3267254886671,0,5,0
20.831360600396277,-150.32692670106104,1,6,0
20.83117086670263,-150.32696512614314,0,6,0
20.831071316312965,-150.32735720096696,0,3,0
20.831579238626595,-150.32739893469918,0,3,0
20.83099860771058,-150.32709687043234,1,2,0
20.8312490648072,-150.32670423063715,1,5,0
20.83133643615596,-150.32659706366496,1,6,0
20.831984586870743,-150.32700442325347,1,5,0
20.830613738386244,-150.32690035279285,0,3,0
20.831446596077587,-150.32713867536143,0,6,0
20.831378052117124,-150.32749632428266,1,5,0
20.831515147066785,-150.32688861260533,0,6,0
20.830781620188382,-150.32655448206555,0,6,0
20.831144021673715,-150.32711940642696,1,4,0
20.83096310211276,-150.32713003316633,1,4,0
20.83130876923174,-150.32699105577018,1,4,0
20.831017199805945,-150.3266817600966,0,6,0
20.831650439478164,-150.32644306634842,1,5,0
20.83213002616416,-150.32637188111917,1,5,0
20.831834475207774,-150.32661033692202,1,6,0
20.83099811192467,-150.3266458302235,1,7,0
20.831267615971953,-150.32685699631608,1,7,0
20.83101451315255,-150.32678592733,1,6,0
20.831450277044244,-150.32646306992493,1,4,0
20.83124467767886,-150.3263157760958,1,6,0
20.831772331007624,-150.32630034121314,1,5,0
20.83138954580462,-150.32686905090412,1,6,0
20.831763656682426,-150.3265379967374,1,6,0
20.831465978250538,-150.32685464345673,1,6,0
20.83185270377097,-150.3271146186359,1,6,0
20.831359867807226,-150.32676023643137,1,5,0
20.831974560514592,-150.3268897705358,1,5,0
20.831497649580715,-150.32707739811005,1,5,0
20.831342417448734,-150.32688344339897,1,5,0
20.831448830602454,-150.32688452407913,1,6,0
20.831621316904485,-150.32691484115176,1,6,0
20.83123888195727,-150.3272754114247,0,6,0
20.83110750593142,-150.3268269974833,1,7,0
20.831538965338385,-150.32680133481165,1,6,0
20.83129517466907,-150.32712509412923,1,5,0
20.831056025591963,-150.32656321647704,1,6,0
20.830806929690887,-150.32712320762244,1,7,0
20.83148816958065,-150.3273025195666,1,2,0
20.831426440016276,-150.32659817385442,1,7,0
20.83128256540528,-150.3268025286243,1,5,0
20.831807584726256,-150.32602013111483,1,7,0
20.831376005237722,-150.32734310641928,0,7,0
20.83188062356913,-150.32686720210202,1,5,0
20.831458699402774,-150.32701445580923,0,6,0
20.83173799489646,-150.32681353575762,0,6,0
20.831420805519226,-150.3270409137157,1,5,0
20.831827171831673,-150.3270641701173,1,5,0
20.83125040464781,-150.3262886424166,1,6,0
20.830898106919015,-150.32658384475116,1,4,0
20.830966939091397,-150.32699725202016,0,6,0
20.831691962514377,-150.32725017421137,1,6,0
20.831113245508774,-150.32679595274735,1,6,0
